aa	工	式	芽	戒	匿	苷	葚	甙	苣
ra	找	措	描	摸	拒	搭	撒	捞	撕
rb	报	摄	凶	扔	拯	拙	揶	报道	报告
rc	把	反	择	抬	瓜	返	摊	挨	拚
rd	振	希	拔	扰	掩	拜	捧	拓	拢
re	摇	援	授	拥	搜	捋	拥有	授权	授予
rf	质	持	技	盾	挂	抚	扶	挝	拷
rg	后	兵	皇	捕	抹	丘	捷	岳	搏
rh	年	看	排	掉	爬	扑	卸	扯	披
ri	朱	泉	挡	搅	抄	撑	捎	邾	抗洪抢险
rj	提	担	揭	捏	揽	捍	撮	拽	刈
rk	损	操	扣	捉	捐	拐	揖	挹	捌
rl	摆	舞	押	捆	撂	摁	摞	掴	擐
rm	制	缺	抽	罐	摧	缸	揣	帛	皑
rn	气	所	据	氧	扬	握	氢	扎	氯
ro	扩	搪	掂	搂	擞	摭	扩大	扩展	推广应用
rp	近	按	控	挥	迫	探	擦	挖	拧
rq	换	的	抵	抱	挑	鬼	欣	抑	挽
rr	折	白	抓	哲	拍	拆	掀	逝	誓
rs	打	杀	刹	弑	揸	打印	打开	技术开发	打击
rt	手	括	斤	托	播	插	拖	搬	挺
ru	拉	接	撞	抖	拌	拦	拼	撇	搁
rv	热	势	执	招	扫	抛	垫	殷	挚
rw	失	推	投	抢	拾	挫	携	迭	扮
rx	指	批	拂	拇	揩	拗	掾	掼	搦
ry	护	抗	搞	挤	撤	斥	邀	摘	掠
sa	模	械	横	框	棋	柜	杠	枢	栋
sb	李	极	椭	椰	楹	李鹏	极为	极大	极其
sc	权	树	桶	梭	懋	橘	杈	杷	柽
sd	顶	杯	棒	枯	椅	楔	梆	杖	椿
se	棚	杉	枷	桴	桕	想办法	枷锁	权力机关	权力下放
sf	村	标	材	植	杆	枝	杜	票	桂
sg	本	西	酸	配	丁	醒	酷	槽	醉
sh	相	想	朴	椒	桢	棹	栌	相应	相当
si	档	梢	榉	桄	杪	樘	桫	相当于	档案
sj	查	棍	棵	槛	榄	榻	覃	杳	查询
sk	可	哥	歌	杏	楫	枵	榀	枳	可以
sl	楞	柙	椤	相辅相成	椭圆形	核辐射	柶	栶	梿
sm	贾	桐	栅	樱	柚	桤	枧	枘	李岚清
sn	杨	栩	楣	札	橄	杞	樨	榍	椐
so	杰	楼	桩	粟	杰出	楼房	林业部	林业局	贾庆林
sp	枕	榨	棕	桉	棺	榕	楦	柠	榷
sq	构	柳	桃	橡	檐	榴	桅	枸	橹
sr	析	板	棉	株	柏	攀	槐	樊	檄
ss	林	木	楚	禁	森	梦	柯	栖	焚
st	格	桥	梅	覆	枚	杵	柞	榭	楸
su	样	梯	栏	樟	梓	榈	樽	槎	榇
sv	根	要	概	棣	棂	楗	要求	根据	概念
sw	机	检	松	枪	栓	橙	枫	桦	榆
sx	楷	枇	椽	橼	＋	－	×	÷	∵
sy	术	述	校	核	柱	杭	榜	梳	柿
ta	长	升	彻	筑	簧	筐	簸	箕	篝
tb	秀	季	透	迤	笈	透露	透明	季节	季度
tc	么	径	私	笃	笆	笞	私人	智能化	黎巴嫩
td	知	适	敌	短	乱	智	籍	筹	辞
te	务	般	船	盘	航	舟	租	稻	舰
tf	等	特	先	造	千	毛	选	德	告
tg	生	行	重	策	征	牛	惩	秤	秉
th	处	自	算	片	怎	息	延	版	竹
ti	秒	稍	衍	簿	箔	筲	愆	徜	科学家
tj	得	利	复	香	筛	犁	篮	梨	馥
tk	各	和	种	程	积	禹	雒	篑	稆
tl	备	血	粤	衅	箩	徊	睾	稷	惫
tm	向	身	微	射	筒	币	奥	徽	躺
tn	乐	秘	迄	乞	筷	笥	自己的	秘书长	秘密
to	秋	翻	释	悉	番	愁	釉	篓	鄱
tp	管	乏	稼	箜	箢	管理	管道	航空公司	称之为
tq	物	称	移	稳	衡	黎	衔	筝	徇
tr	稀	我	循	秩	御	穆	鹅	箍	徨
ts	条	箱	牺	笨	秫	簟	篥	＾	＿
tt	笔	笑	牧	牲	篷	禾	笙	筵	篦
tu	科	简	乎	税	冬	乘	剩	箭	箪
tv	很	律	委	魏	笋	逶	箫	犍	簋
tw	答	符	徐	签	役	黏	稚	秃	颓
tx	第	系	每	繁	敏	毓	篆	胤	筚
ty	入	往	篇	稿	簇	篱	篙	汆	彷
ua	并	瓶	冻	瘩	迸	疟	痨	阈	疳
ub	闻	塑	疗	逆	朔	瘾	癃	疖	槊
uc	痛	冶	冯	闯	瘫	竣	疤	痉	瘙
ud	头	关	状	减	送	兰	卷	辩	郑
ue	前	剪	毅	瘦	遂	煎	翦	痈	瘸
uf	斗	装	养	闭	辛	壮	凌	闺	羌
ug	着	美	半	判	差	病	善	盖	羊
uh	站	疲	丫	疵	痱	癯	阒	着眼于	疲劳
ui	冰	阔	瘠	痧	并没有	减少了	冰箱	资源共享	奖学金
uj	间	意	章	音	竟	童	竭	闽	韵
uk	问	部	总	况	冲	竞	剖	兑	癌
ul	单	曾	兽	闸	痼	痹	郸	甑	瘰
um	端	弊	凋	憋	瞥	敝	蹩	鳖	瘿
un	决	闷	翊	癖	疡	阚	癜	瘕	瘳
uo	普	痰	瘘	普通	普及	普遍	产业化	产业结构	产业政策
up	奠定了	兼容性	决定了	兼容机	决定性	冷空气	竞赛活动	决定性的	决定因素
uq	次	资	将	净	奖	浆	盗	瓷	姿
ur	新技术	总投资	前提下	前所未有	新的贡献	总后勤部	新技术产业	新的水平	总的来说
us	亲	新	尊	遵	闲	奠	酋	遒	猷
ut	道	产	首	颜	疾	阁	疼	彦	痴
uu	立	阅	阐	痒	阙	瘴	痫	瘥	瘅
uv	兼	痕	歉	妆	妾	鹣	兼容	兼并	美好的
uw	准	益	冷	闪	阀	疯	疫	疮	痊
ux	北	背	弟	凝	递	孳	慈	冀	兹
uy	门	闹	凉	闵	凛	瘀	瘁	阏	阂
va	媒	姬	媾	娆	妪	嫫	媒体	媒介	建功立业
vb	好	她	奶	婀	媸	好的	好处	她们	好评
vc	即	始	既	妈	努	奴	怒	暨	孥
vd	姑	娠	姑娘	建成投产	九三学社	好不容易	忍不住	如愿以偿	好奇心
ve	退	姐	嫂	垦	恳	媛	嫒	艮	退出
vf	寻	妹	娃	奸	妓	嬉	姥	妩	孀
vg	建	嫩	姨	嫣	聿	婧	婕	妍	娅
vh	肀	如虎添翼	如此等等	如此众多的	如上所述	姹紫嫣红	如此说来	如此而已	娊
vi	录	剥	隶	肃	妙	逮	嫦	逯	灵活性
vj	旭	巢	剿	娼	娌	旮	妲	媪	如果说
vk	如	召	邵	絮	娱	娟	恕	迢	邕
vl	姻	甾	邋	嫘	建国以来	巡回演出	巡回展示	姻缘	巡回医疗
vm	姗	妯	娉	女同志	灵丹妙药	女同学	刀山火海	奾	妠
vn	刀	妃	娓	媚	婿	妮	娜	妞	姒
vo	灵	嬷	灵活	灵魂	灵感	灵敏	灵巧	如火如荼	灵通
vp	嫁	巡	婶	婉	帚	姹	嫔	巡回	嫁接
vq	婚	姚	鸠	娩	妁	婚恋	婚姻	婚礼	肃然起敬
vr	婢	姝	好的方向	妙手回春	忍气吞声	怒气冲冲	女扮男装	逮捕法办	杂技团
vs	杂	嫖	杂志	杂交	杂草	杂技	杂质	杂文	杂费
vt	九	群	君	姓	媳	郡	娇	姊	娥
vu	嫌	嫉	娣	娴	婵	馗	姘	嫜	建立了
vv	妇	女	妇女	女子	女儿	女性	女士	女人	女排
vw	妗	即使是	群众性	录像机	录像带	群众路线	群众反映	她们的	即便是
vx	姆	妣	始终坚持	始终保持	始终是	始终不渝地	嫌疑人	始终处于	始终如一
vy	娘	忍	妨	刃	丸	婷	妒	嫡	姣
wa	代	供	借	袋	伐	贷	仝	侥	儆
wb	他	创	仍	仔	仓	佴	戗	他们	他说
wc	公	仅	凤	颂	翁	俊	殳	俟	瓮
wd	做	段	优	伏	僚	估	仗	佐	俺
we	佣	俘	伽	倪	仂	倍受尊敬	信用卡	使用了	使用权
wf	会	什	传	值	伟	付	舍	仁	舒
wg	全	使	合	命	例	便	余	倒	拿
wh	个	候	企	修	侦	悠	俱	仆	攸
wi	偿	倘	俏	氽	傥	合法权益	依法治国	传染病	偿还
wj	介	但	伸	偶	倡	俚	偈	倮	但是
wk	保	促	仲	堡	侣	侃	俣	煲	保护
wl	佃	儡	偎	儇	俄罗斯	集团公司	全国政协	全国人大常委会	全国各地
wm	仙	侧	催	倜	侗	俜	⒈	⑴	①
wn	假	似	追	亿	侯	僻	伺	阜	倔
wo	伙	俯	偻	伙伴	企业家	供应商	企业管理	健康发展	企业集团
wp	伫	倌	佗	侬	倥	傧	全社会	公安局	公安机关
wq	你	低	您	像	仰	侈	佝	佻	儋
wr	风	父	爷	爸	爹	斧	釜	凰	傀
ws	体	何	休	朵	剁	仃	傈	僳	鸺
wt	八	作	件	几	任	伤	俄	凭	侨
wu	位	们	倍	伴	伞	倦	僧	佯	僮
wv	分	侵	伊	健	贫	盆	仇	颁	忿
ww	从	人	众	价	坐	份	谷	欲	伦
wx	化	华	货	倾	佛	仑	偕	仳	化学
wy	信	领	今	集	住	含	食	令	依
xa	红	练	绕	绒	缂	绀	绁	经营者	经营管理
xb	级	弛	绌	弭	♂	♀	级别	维也纳	继承和发扬
xc	经	缀	弘	绎	纾	弪	绐	经济	经过
xd	顷	缅	绑	绮	毋	缭	弼	缄	绂
xe	组	缓	幼	绥	绷	绶	组织	组成	组建
xf	线	结	续	贯	绪	疆	纬	绫	鸨
xg	纯	绩	缚	彝	蠡	缰	缙	彘	纡
xh	引	绰	绯	缈	引进	引起	引导	引入	引发
xi	纱	绡	颍	绱	糸	经济发展	经济效益	经济建设	经济增长
xj	费	旨	绅	缆	弗	缦	艴	缇	绲
xk	强	织	绳	缉	绢	犟	缋	缱	缲
xl	细	缧	缌	缳	细胞	细菌	细致	细节	编辑部
xm	纲	纳	绸	缨	纳入	纲要	纳税	纳米	纲领
xn	纪	母	纠	幻	纽	弓	缪	缗	纟
xo	继	缠	缕	粥	鬻	纩	继续	继承	毕业生
xp	缩	综	绽	缤	绾	综合	缩短	缩小	综述
xq	约	绝	纸	弥	绚	绉	乡镇企业	约束	经销商
xr	缴	弧	绵	缴纳	绵阳	维护世界和平	维护社会稳定	强制性	缴获
xs	缥	缃	结构调整	结构性	强权政治	纵横交错	红楼梦	张榜公布	纵横驰骋
xt	张	终	乡	纤	疑	缝	络	颖	绣
xu	弱	弹	绊	缮	缢	绻	缣	缯	绨
xv	绿	绍	纫	纨	缫	缁	绿色	绿化	绿地
xw	给	维	纷	纵	绘	纶	缎	缑	缏
xx	比	丝	毕	缘	皆	毙	畿	幺	毖
xy	统	编	弦	纺	纹	缔	绞	缟	缡
ya	谋	试	诺	诬	谨	谎	讶	谟	谍
yb	诎	邡	诹	谋取私利	望子成龙	讲卫生	充耳不闻	市盈率	谁也没有想到
yc	充	育	弃	译	诵	诒	袤	谲	诶
yd	诚	斋	诙	诂	诔	ā	á	ǎ	à
ye	衣	谣	诅	裔	谀	裒	谖	衣服	主办单位
yf	计	讲	讨	读	诗	诸	斌	讳	诘
yg	请	主	证	语	评	谏	诼	主要	语言
yh	让	诽	谑	讣	卞	这些年	这些年来	让利	高瞻远瞩
yi	诮	谠	就没有	高水平	旅游业	充满信心	交流与合作	高兴地	高尚的
yj	刘	剂	齐	课	裹	谒	谩	齑	课题
yk	就	高	识	京	误	毫	熟	亮	训
yl	谓	亩	颤	禀	谡	亩产	帝国主义	交界处	颤抖
ym	市	调	讷	讪	市场	调整	调查	调用	市民
yn	记	望	刻	房	永	遍	户	词	亡
yo	变	谈	迹	亦	弯	恋	蛮	奕	谜
yp	这	谊	诧	诨	这种	这些	这一	这个	这是
yq	询	诡	诋	谗	诤	诌	谄	诳	谵
yr	义	离	诉	诛	亵	诟	旆	高技术	交换机
ys	订	谭	诃	这样的	主要是	订婚	许可证	主要原因	调查研究
yt	放	为	话	许	族	施	州	旗	谢
yu	说	商	帝	旁	详	谱	谦	谥	谚
yv	良	朗	郎	诏	良好的	良好	良种	离退休	良性
yw	六	设	论	认	交	效	夜	谁	讼
yx	率	畜	玄	谐	雍	紊	诣	壅	饔
yy	方	文	议	该	言	访	谅	谤	谆
