AAA	工	菚	葡萄牙	工期	工匠	恭恭敬敬	花花世界	工藝	工區
FWH	規	嫢	槼	鬹	截止	熱鬧	䨹		
FWI	截流	十分注意	十分激烈	十分清楚	零活	熱潮	熱水	熱淚	熱浪
FWJ	圿	零星	十分明确	熱量	零時	十分明確	十八時	顛倒是非	
FWK	堢	老八路	熱中	協作單位	老倆口	超凡品味			
FWL	熱點	零點	十分困難	截擊	顛倒黑白				
FWM	椝	鬶	霍山	規則					
FWN	埠	塢	堠	垖	塠	十分必要	十分迅速	十分慎重	熱情
FWO	零度	幹什麼	熱度	熱火	塔什庫爾幹	㙸			
FWP	老人家	十分之	超低空	規定	十分複雜	零售額	十分寶貴	十分罕見	
FWQ	截留	截然	朝令夕改	截獲	零錢	電飯鍋			
FWR	干休所	霍邱	替換	二進製	熱氣	十進製	幹休所		
FWS	垛	十分相似	十分可疑	規模	規格	電傳機	夫權		
FWT	堸	夌	十分重要	干什么	十分重大	十分繁重	零售物价	截稿	替身
FWU	熱門	規章	十分關心	十分關注	協作關係	截癱	十分親切	二八開	
FWV	坋	雰	鳱	規劃	夫婦	十拿九穩	䲧	䳒	
FWW	赍	嗇	賫	鳺	﨏	替代	夫人	零售	零件
FWX	墢	鼀	熱線	零售總額	規約	截斷	十分費解		
FWY	零	堆	截	霍	埝	坅	坽	靃	靍
FXC	䨎								
FXD	毐	超級大國	㙣						
FXE	坳								
FXF	熱線電話	壽比南山							
FXG	堟	壽終正寢							
FXH	塡								
FXI	增強黨性	增強活力							
FXJ	坲								
FXK	教練員								
FXL	增強團結								
FXN	城鄉居民	㘭							
FXP	老紅軍	城鄉之間							
FXR	十幾年來	頑強拼搏							
FXS	教練機								
FXT	二級簡碼								
FXU	老弱病殘	城鄉差別							
FXV	城鄉建設								
FXW	二級企業	城鄉人民	增強信心						
FXX	堦	霛	城鄉經濟	㘩	㙄	㙨			
FXY	坶	刬		超級市場	二級市場	報紙雜誌	喜結良緣		
FYA	教育工作	教育工作者	教育基地	教育革命	培訓工作	培訓基地	地方工業	城市工業	遠郊區
FYB	教育子女	壇子							
FYC	堉								
FYD	城市面貌	支离破碎	零敲碎打	超高壓	直言不諱	支離破碎	真誠友好	二話不說	
FYE	裁	教育學	教育學院	電話采訪	協調與合作				
FYF	霅	城市規劃	增產增收	真誠地	培訓教材	城市規模	地方武裝	增產增值	
FYG	地方政府	培訓班	教育事業	壞死	協商一致	城市現代化	教育素質		
FYH	地方戲	壞處	超高頻						
FYI	圡	教育水平	地方党委	城市污染	裁決	裁減	二話沒說	地方黨委	超高溫
FYJ	靄	十六時							
FYK	壤	墩	壕	埻	塙	墎	霩	教育中心	坑口
FYL	壇	壞	壈	教育界	地方國營	雲遊四方			
FYM	地方財政	教育體製							
FYN	垓	教育改革	城市居民	地方性	教育局	城市改革	電話局	協調性	墑情
FYO	塆	教育廳							
FYP	裁定	教育家	坑害	裁軍	報效祖國				
FYQ	地方色彩	電話銀行	協議金額						
FYR	雱	垴	教育制度	教育質量	教育製度	遠交近攻	電話接線生		
FYS	超文本	坑木	電話機	協調配合	坦誠相待	報話機	超文本傳送協議		
FYT	坊	城市管理	地方特色	城市生活	地方自治	地方稅	教育科學	協調委員會	增產節約
FYU	雯	霽	墑	塝	教育部	裁判	裁剪	坑道	地方病
FYV	埌	城市建設	協議書	教育群眾	起訴書	壞書	㙟		
FYW	坑	埣	壌	城市化	教育体制	城市人口	教育人民	南方人	坑人
FYX	壪	電話線	電話網	地方經濟	教育經費	城市經濟	城市綠化	裁縫	電話總機
FYY	南京市	熱衷於	電話交換機	賣方市場	教育方針	教育計劃	壞話		
GAA	琖	形式	一期工程	刑警	刑期				
GAB	邢	融匯了							
GAC	邢台	形態							
GAD	琪	璂	形成	正式成立	下落不明	弄巧成拙	玩世不恭	一切成就	亞歐大陸
GAE	形	天花亂墜							
GAF	玵	瓂	政工干部	形勢	死難者	政工幹部	兩難境地		
GAG	玒	璍	刑事	一草一木	一覽表	互敬互愛	㼛		
GAH	琊	玡	璼	形式上	㺿	䙹			
GAI	弄清	刑法	弄堂						
GAJ	弄	型	刑						
GAK	瑾	琙	瓘	型號	形蹟				
GAL	東歐國家	刑罰	㿼	䵤					
GAM	瑛	璜	璊	形體	弄髒				
GAN	玴	弄懂	形狀	下基層	㻡	䍾			
GAO	烎								
GAP	形容	正式宣布	䢎						
GAQ	璥	形象	形象	形式多樣	致歡迎詞	弄錯	㰢	㻤	㻸
GAR	一切后果	一覽無餘	豆蔻年華						
GAS	弄權								
GAT	璓	一落千丈	万花筒	刑律	一切從實際出發	一切向錢看	一切後果	亞歐各國	一切從嚴
GAU	正式開始	形式新穎							
GAV	整舊如新								
GAW	珙	瑹	瓁	雃	鳽	形体	形似	五花八門	亞歐會議
GAX	下世紀初	正式結束							
GAY	青藏高原	救世主	正式訪問	形式主義	正藍旗	專項調研			
GBB	瑘	一陣子							
GBC	㻓								
GBD	瓍	事出有因	一了百了	副院長	頓感				
GBE	屯墾								
GBF	專職幹部								
GBG	珥	㺭							
GBJ	屯昌	頓時							
GBK	頓號								
GBN	頓	屯	旾	迍	邨	珠聯璧合	㼊		
GBP	一孔之見								
GBQ	屯留	頓然							
GBR	屯兵	頓挫							
GBW	現階段	㐪							
GBX	互聯網								
GBY	青出於藍								
GCA	到期	致敬	㺹						
GCB	致函	到職	政務院						
GCC	晉	戩							
GCD	一通百通	互通有無	下馬威						
GCE	致力	致力	致辭	丟臉	㻆				
GCF	至	到	臻	郅	臵	臶	臸	臹	鵄
GCG	至于	致死	致殘	瑪瑙	到頭	一馬平川			
GCH	至此	至上	到處	事務處理	晉縣				
GCI	至少	晉江	一馬當先	瑪沁	死馬當活馬醫				
GCK	珆	晉中							
GCL	到點								
GCM	五台山	到岸	瑪曲						
GCN	瑈	璚	致以	互通情報					
GCO	瑪	到底	到府						
GCP	致富	到家	致密	政務官	晉寧	政務官			
GCQ	玧	至多	瑪多						
GCR	到手	丟失	事務所	丟掉					
GCS	到校	到來	到頂	丟醜					
GCT	晉升	事務管理	天馬行空						
GCU	丟	致癌	致病	致意	到站	致歉	至親		
GCW	至今	致使	致命	到任	致信	互通信息	政通人和	到會	到貨
GCX	晉級								
GCY	㺨	瑵	致哀	至交	至於	致詞	丟棄	致謝	副參謀長
GDA	⒎	⑺	⑦	㈦	ⅶ	Ⅶ	7	⒏	⑻
GDB	形成了	天子	天職	天際	事故隱患	天險	丟面子		
GDC	蚕桑	天台	王碼通訊						
GDD	△	▲	▼	▽	◢	◣	◤	◥	⊿
GDE	瑚	珛	瓇	＠	@	下大力气	吞服	互不服气	下大力氣
GDF	幵	栞	郉	〇	天地	正确地	天才	天真	互不干涉
GDG	珬	瑊	蝅	蠺	⒌	⑸	⑤	㈤	ⅴ
GDH	玤	珔	′	″	天上	表面上	一大步	死不瞑目	正確處理
GDI	天	沗	天津	天堂	天河	五大洲	天水	天池	天光
GDJ	奣	昋	一大早	天明	再不是	天時	天長日久	互不影響	䗞
GDK	吞	吞噬	吞吐	正確路線	王碼品牌	王碼中文電話	王碼中文鼠標		
GDL	◇	◆	□	■	○	●	◎	⊙	⊕
GDM	頊	瑌	天山	死胡同	天峻	天峨	天體	天賦	死鬍同
GDN	忝	珹	正确性	天性	表面性	正確性	㤁		
GDO	天麻	天府	正確對待	專而精					
GDP	迗	＆	&						
GDQ	天然	天色	天鎮	平面鏡					
GDR	「	」	『	』	〖	〗	【	】	《
GDS	琦	／	＼	/	\	︱	︳	︴	更不可能
GDT	瓑	⒈	⑴	①	㈠	ⅰ	Ⅰ	1	⒉
GDU	㺯	璙	正确道路	吞并	一大半	天門	正確道路	更有意義	吞並
GDV	⒐	⑼	⑨	㈨	ⅸ	Ⅸ	9	⒑	⑽
GDW	琫	瑃	瑧	鴌	天体	天使	蚕食	吞食	互不侵犯
GDX	№	‘	’	“	”	天線	亞太經合組織	正確引導	王碼網
GDY	天文	更有效地	正确方向	天亮	正確認識	天敵	正確方向	正在這時	下不為例
GEA	青工	青草	青菜	更加緊密地	逐項	靜觀	䝔	䨼	
GEB	琈	郬	逐出	一肚子气	青聯	列舉了	靜聽	青陽	一肚子氣
GEC	豝	靜態	表態	䝌					
GED	豲	表面	青春	事與願違	一舉成名	互助友愛			
GEE	靜	珕	瑫	豠	豯	逐月	靜脈	㻚	
GEF	青	豬	櫫	豮	豶	豷	表示	表露	表土
GEG	瑗	玥	燹	珇	璵	豘	豜	豣	豧
GEH	甫	敷	靚	逋	乶	喸	尃	懯	旉
GEI	豕	靗	表演	青海	青浦	青河	逐漸	表決	靜海
GEJ	蟸	豱	表明	青蛙	逐日	表里			
GEK	珈	青史	青川						
GEL	青田	靜默	䀃	䝏					
GEM	青山	豬肉	青貯	青岡	䝎				
GEN	豭	表情	青翠	求胜心切	表層	求勝心切			
GEO	逐鹿	敷料	下腳料						
GEP	逐	靛	璦	逐字	青神	靜安	靜寂	更加複雜化	靜寧
GEQ	豞	靘		表象	表象	逐句	青銅	一舉多得	
GER	豨	靔	靝	青年	逐年	表白	表揚	靜樂	䝈
GES	表格	表述	青松	表哥	一脈相承				
GET	玏	甤	豵	更加重要	青稞	敷衍	更加符合	更加重視	
GEU	表彰	更加美好	表弟	逐次	一股逆流	青龍	靜養	䝑	
GEV	豤	表妹	表姐	䝓					
GEW	豛	鶄	五月份	一月份	更加全面地	青島	逐個	逐條	靜坐
GEX	逐級	五彩繽紛	專用線	青綠	青絲				
GEY	剢	豖	豟	豥	豴	表率	青州	致力於	專用設備
GFA	五十七	烈士墓	表示敬意	表示歡迎	亞歐	東城區	五十萬	亞熱帶	玩藝
GFB	邘	表達了	烈士陵園						
GFC	求真務實								
GFD	瓀	玩耍	一去不复返	五十三	表示感謝	一去不復返	環境破壞	一聲不吭	環境面貌
GFE	一塊兒	現場采訪							
GFF	珪	表示支持	五十二	于都	天南地北	下地干活	青云直上	天塌地陷	表示熱烈歡迎
GFG	亞	惡	堊	琧	蝁	鵶	五十万	青霉素	五十五
GFH	玕	珷	瑱	玩具	一起上	五十步笑百步	亞非	亞非	盂縣
GFI	平均水平	天南海北	亞洲	環境污染	惡劣	表示滿意	環境治理	死去活來	天真活潑
GFJ	琎	于是	惡果	平均日產量					
GFK	于	下坡路	玩味	惡戰					
GFL	盂	瓄	迂回	五十四	于田	平均數			
GFM	表示同意	青城山	五臺山						
GFN	璹	瓙	平均收入	惡性	表示慰問	惡心	惡習	㺮	
GFO	一塌糊涂	專賣店	惡魔	一塌糊塗	天真爛漫				
GFP	迂	柬埔寨	亞軍	表示祝賀	兩者之間	天壤之別	一場空		
GFQ	玩	東南角	亞銀						
GFR	副教授	一起抓	与去年同期相比	与去年相比	平均年齡	理直氣壯	平均氣溫	表示擔憂	天真無邪
GFS	東南西北	惡棍							
GFT	珯	琽	玩笑	玩物	平均每年下降	政協委員	環境衛生	平均每年增長	惡臭
GFU	現場辦公	環境意識	惡意	東南部	表示關切	惡疾	㼀		
GFV	五十九	環境建設							
GFW	玞	瓉	平均价格	五十八	一鼓作气	玩命	玩偶	平均分配	一元化
GFY	五十六	再教育	表示讚賞	平均主義	政協主席	表達方式	東南方	表示衷心祝賀	東南郊
GGA	一切	一世	一共	玩弄花招	一項	一萬	一帶	五萬	一覽
GGB	一下子	王子	表現出	一陣	球隊	表現了	下一階段	表現出色	兩下子
GGC	琶	五台	球台	万事通	一致通過				
GGD	一套	一百	一大	一面	五大	五百	一整套	球面	万事大吉
GGE	琢	璷	五月	一月	五彩	表現力	一舉	五臟	表現力
GGF	玗	一直	一起	五十	王朝	平整土地	一場	一塊	球場
GGG	王	玨	璱		一天	一下	一致	一万	一一
GGH	五	一些	一步	下一步	一瞬	下一步工作	死于非命	一處	
GGI	一流	一派	五洲	五常	平平淡淡	平平常常	五河	刑事法庭	琳琅滿目
GGJ	瑼	璢	璤	一是	一旦	一日	五星	一早	球星
GGK	珸	瓎	一路	一口	一味	玻璃器皿	吞吞吐吐	球員	一號
GGL	一	瑓	一回	一點	王國	一連	一團	頭一回	末班車
GGM	一同	一致同意	五峰	一體	一則	球體	㺰	㺻	㻷
GGN	瑟	玙	珁	一致性	一心	一展	球狀		
GGO	瑨	一度	球迷	琢磨	王府	一類	五一勞動獎章	球類	現政府
GGP	一定	刑事案件	一字	王室	五官	五官	王冠	平平安安	五寨
GGQ	璈	一角	五金	形形色色的	刑事犯罪	一色	形形色色	刑事犯罪分子	至理名言
GGR	一年	一批	五年	一手	一气	殊死搏斗	五岳	球拍	刑事拘留
GGS	琹	一概	一樣	一來	到頭來	專政機關			
GGT	一种	一般	一片	一行	一千	一生	一番	一律	一身
GGU	玶	一次	一半	一道	再一次	一端	一新	一并	一瞥
GGV	一群	一如	万事如意						
GGW	琴	珡	一段	一体	一代	下一代	一倍	一班人	一例
GGX	琵	瑇	一級	一線	一貫	一經	一統	一再強調	玻璃纖維
GGY	一方	一刻	一旁	正下方	一致認為	一齊	刑事訴訟法	整整齊齊	刑事訴訟
GHA	琥	璩	瓐	瓛	正式	下工	政工	下落	正巧
GHB	下降	一目了然	下限	鄢陵	一輩子	現出	下聯	現職	正職
GHC	玻	下台	焉能	政務	下馬	㺳			
GHD	正	琲	頙	正在	正确	下面	正面	更具有	正大
GHE	正月	下肢	下月						
GHF	下去	一些地方	下雨	正直	下地	逐步地	焉耆	下雪	現場
GHG	焉	㺺	鄢	琡	靕	玻璃	下列	逐步形成	下班
GHH	羐	正餐	政見	㻉	䢥				
GHI	下	政治	正常	政党	政法	下游	下滑	下海	下水
GHJ	琸	正是	下野	現時	正題				
GHK	玷	丅	下跌	正中	正品	正路	一些單位	一些單位和個人	
GHL	政界	下回	一些國家	下車	正軌	正點			
GHM	下山	下同	下周	下崗	政體	正體			
GHN	丐	亙	忑	丏	乤	政局	下情	現狀	現已
GHO	政府	下廠	正業						
GHP	璿	逐步完善	正宗	正定	政客	正宁	現實	逐步實現	正視
GHQ	現	璨	下旬	正名	現象	現象	現金	現鈔	一見鐘情
GHR	正气	逐步提高	下手	正反	下挫	正氣	現年	逐步推廣	
GHS	下述	下榻	政要	与此相反	下來	政權			
GHT	政	政策	下午	政委	正版	正午	正逢	下种	下垂
GHU	下次	下部	正道	下端	到目前為止	一些問題	正義	一瞬間	正門
GHV	正如	正好	逐步建立	一見如故					
GHW	颪	鴊	一些人	正值	下令	政企	政令	政体	正体
GHX	玼	正比	下鄉	政績	下級	政紀	正經	正統	政經
GHY	㺪	下放	正文	下方	下文	下遊	正處於	下調	下設
GIA	璖	正常工作	政治工作	整党工作	表演藝術家	求賢	表演藝術	整黨工作	
GIB	救出	求取	求職	正當防衛	政治陰謀				
GID	互派大使	政治面目	副省長	逐漸成為	瑣碎	亞洲太平洋地區			
GIE	琑	救助	求助	政治力量	求胜	求學	政治覺悟	求勝	求愛
GIF	琺	求教	五光十色	一清二楚	求真	政治地位	表演者	政法干警	政法干部
GIG	珖	求救	政治事件	一潭死水	政治理念	政治素質	逐漸形成	政治責任	政治理論
GIH	政治上	政治目的	政治鬥爭	一決雌雄	求見				
GII	青海省	救治	救活	求治	天涯海角	正常渠道	救濟	政治活動	逐漸消失
GIJ	求是	救星	一清早						
GIK	珠江口	表演唱	政治路線	殲滅戰	求戰				
GIL	政治思想	五湖四海	政治思想工作	亞洲國家	救國				
GIM	瑣	求同	政治體製改革	政治體製					
GIN	政治局	政治局面	政治性	刺激性	求情	政治改革	政治民主	下決心	正常情況
GIO	救火	救濟糧	一溜煙						
GIP	瑺	璫	政治家	正常運行	求實	正常運轉	表演賽	政治運動	珠光寶氣
GIQ	政治危机	救急	政治犯	政治解決	救濟金	政治危機			
GIR	青少年	正常的	救援	政治制度	求援	政治舞台	一小撮	救兵	表演技巧
GIS	至少可以	政法機關	正當權益	政治權利	表決權	政治權力	正當權利		
GIT	求得	求生	救生	政治生活	求知	正常秩序	求和	正常生活	万水千山
GIU	政治部	求新	政治背景	政治問題	政治關係	政法部門	兩黨關係	正常關係	
GIV	珰	珱	求婚	救災					
GIW	正常人	救人	政治体制改革	正常化	救命	政治体制	求全	求人	政治化
GIX	政治經濟	亞洲紀錄	政治經濟學	政治組織	政治綱領	瑣細	救濟費		
GIY	救	求	裘	逑	慦	皳	盚	天津市	珠海市
GJA	丣	畱	理工	下星期	專項	專著	東莞	東歐	更難
GJB	專職	東陽	惠陽	東陵	東阿				
GJC	更能	下里巴人	表明態度						
GJD	更大	一日三餐	形影不离	表里不一	惠存	專長	更長	專題研究	理髮
GJE	更加	專用	理學	東勝					
GJF	理	更替	理塘	東南	專款	專賣	專電	專場	專題報告
GJG	刯	瑅	瑒	理事	更正	素昧平生	表里一致	東亞	專一
GJH	惠	㺫	專	瑁	剸	珅	甎	鄟	鷒
GJI	東	鶇	更深	更小	更少	惠水	東海	東江	東渡
GJJ	琩	更是	專題	東盟	東明				
GJK	丌	理順	專員	東川	遭遇戰	專號			
GJL	瑥	專輯	東盟國家	專車	專署	㻴			
GJM	理由	理財	東山	東豐	惠農	㻦			
GJN	更快	理性	更改	惠民	理屈	專心			
GJO	專業	理應	專營	更應	東營				
GJP	惠安	專家	東寧	專案	東安	東家	䢋		
GJQ	更多	理解	更名	死里逃生	㻛				
GJR	更	甦	郠	更迭	平易近人	更換	更無	專製	㪽
GJS	理想	更要	形影相吊	東西	專欄	專機	專柜	專橫	惠來
GJT	瑆	理智	理科	于是乎	更短	一日千里	更生	專利	專程
GJU	更新	專門	東北	東部	理療	東門	東站	一星半點	
GJV	更好	更是如此	表里如一						
GJW	理念	理化	与日俱增	東風	專人	專供	東側	理會	到時候
GJX	琨	專線	五星紅旗	東經	東鄉	東線	專斷		
GJY	璟	琝	更高	惠州	更衣	理論	更為	東方	東京
GKA	事項	一鳴驚人	噩夢						
GKB	郚	事隔	豆子	副職	兩口子	頭子			
GKC	融通	吞吐能力	事務	事態					
GKD	事故	整套	一蹴而就	噩耗	一哄而起	速成	一蹶不振	一哄而散	頭髮
GKE	琄	整月	速胜	頭腦	事兒	速勝			
GKF	吾	逼真	副刊	整地	毒品走私	毒品走私案	逼走	整塊	
GKG	丗	帯	彧	珵	整理	整整	整天	整形	一路平安
GKH	囊	玔	橐	璐	蠹	叓	嚢	栆	櫜
GKI	整	速	束	賴	敕	剌	勅	慗	揧
GKJ	亜	悪	吞吐量	整日	副題				
GKK	卅	噩	璪	副品	事蹟	頭號	逗號	一路順風	䫷
GKL	副	逼	畐	疈	鶝	整數	㽬		
GKM	融	翮	鬲	鞷	鬴	鬷	鬸	鬺	鷊
GKN	事情	整改	㐚						
GKO	速度	豆腐	事業	副業					
GKP	逜	事宜	整容	融安	副官	副官	事實	速寫	
GKQ	事儿	逗留	融解						
GKR	吏	事后	一口气	逼近	囊括	逼迫	副手	整年	一口氣
GKS	整机	副本	速查	整機	頭頂	事權	形蹟可疑	一味遷就	
GKT	敔	事物	事先	王忠禹	逼和	逗笑	速射	事後	頭銜
GKU	豆	頭	逗	豌	豇	豉	剅	毭	豍
GKV	事	剚							
GKW	整体	事件	融合	整合	事例	整修	融化	副食	逼人
GKX	束縛	副總	頭緒	整編					
GKY	速率	速效	整夜	事主	整齊	事變	珍貴文物	速記	
GLD	珚	副團長	列車長	環礁					
GLF	環境	環城	天羅地網						
GLG	環	畺	一回事	一國兩製	環球	環形	一點一滴	救國救民	兩回事
GLH	玾	環縣							
GLI	柬	鶫	環流	環海	環江	一團漆黑	㪝	㼑	
GLK	卌	環路	一連串	一連串的	列車員	㻁			
GLL	瓃	救國圖強							
GLM	環山								
GLO	一團糟								
GLP	璉	兩國之間	五四運動	環視					
GLQ	㻿								
GLR	環抱								
GLT	環節	環衛	環行	一團和氣	㻒				
GLU	兩國關係	兩國間							
GLV	㻲								
GLW	琾	環保	兩國人民						
GLX	環繞	一連幾天	㼈						
GLY	正因為	正因為如此	環顧	正因為這樣	兩點論				
GMA	遭	曹	琠	棗莊	下崗工人	兩難	責難	整體觀念	遭難
GMB	再出	刺耳	下崗職工	兩院	棗陽	㓰			
GMC	叀								
GMD	瑞	再不	再三	求同存异	責成	兩面	求同存異	兩鬢	
GME	勣	遭受	兩用	兩腳					
GMF	再	専	珃	琱	瑞士	再者	再起	瑞雪	遭劫
GMG	遭到	珊瑚	遭殃	遭致	刺死	再現	整體素質	兩頭	東山再起
GMH	兩	巿	帀	迊	靑	鳾		刺眼	刺目
GMI	刺	棗	棘	僰	敇	朿	刺激	兩黨	整體水平
GMJ	曺	襾	遭遇	瑞昌					
GMK	下崗員工	㺾							
GML	兩國	責罵	責罰						
GMM	珊	瓔	両	瑞典	一幅幅	刺骨	兩岸	兩岸同胞	再則
GMN	恵	天网恢恢	兩翼	再選	責怪	兩性			
GMO	再度	兩廣							
GMP	瑞安	刺客	再審						
GMQ	瑞金								
GMR	棘手	刺探	兩手	兩製	刺殺	五體投地			
GMS	′	″	再植	兩極	兩樣	兩棲	兩可		
GMT	再生	再造	再版	兩邊	整體利益	兩利			
GMU	責	再次	刺痛	兩次	兩岸關係	兩端	兩半	責問	整體部署
GMV	再婚	刺刀	遭災						
GMW	丙	璀	邴	琌	瓗	責任	一體化	兩側	責令
GMX	兩級	刺繡	丙綸	棗強					
GMY	珼	麗	酈	邐	鸝	婯	彨	彲	玬
GNA	珉	与其	瓦斯	与共					
GNB	㐏	㻕	㻵						
GND	琚	与否	平民百姓	于心不忍	于心不甘	副局長	副司長	平心而論	瓦礫
GNE	惡性腫瘤	惡性膨脹							
GNF	殖民地	死心塌地	更快地發展	㺲					
GNG	珝	一心一意	事已至此	專心致志	平心靜氣				
GNH	瑕	瑂	下情上達	㔿	㺩	㺼			
GNI	㝳								
GNJ	到那時	致以最熱烈的祝賀							
GNK	瑋								
GNM	致以崇高的敬意								
GNN	瓦	玌	玘	瑉	瓧	瓩	瓪	瓰	瓱
GNP	一臂之力	惡性案件							
GNQ	瓦解								
GNR	戸	玚	整改措施	青壯年					
GNS	平裝本								
GNT	攷	珌	瓦特	惡性循環	致以節日的祝賀	整裝待發	事必躬親	政局動蕩	致以節日的問候
GNU	忢	惡性競爭							
GNV	丂								
GNW	玦	璆	于心何忍	副司令員					
GNX	戉	殖民統治	專屬經濟區						
GNY	夨	璻	瓦房	殖民主義	理性認識	致悼詞	理屈詞窮	致以誠摯的	
GOA	政府工作	政府工作報告	㼅						
GOB	政府職能								
GOD	事業成功	一塵不染	䴡						
GOF	王府井								
GOG	璞	鄑	死對頭						
GOH	烈火見真金								
GOK	事業單位								
GON	事業心	一廂情願							
GOO	琰	專業對口	㼆						
GOP	政府官員	政府軍	天府之國	殘廢軍人					
GOQ	璘	專業銀行							
GOR	專業技術	專業技術人員	專業戶	專業技術職稱	平庸無奇				
GOS	政府机构	政府机构改革	政府機構	政府機關	政府機構改革	政府要員			
GOT	玩火自焚	專業知識	副業生產						
GOU	政府部門	政府間	政府首腦						
GOV	瑭	更應如此							
GOW	政府代表	列席代表	專業化	專業人員	專業人才	一應俱全	政府代表團	專業分工	列席會議
GOX	政府總理								
GOY	更應該	專業課	一席話	一席談	一勞永逸				
GPB	一定限度								
GPC	一定能夠	天之驕子							
GPD	辷	迋	求之不得	副社長	琿春	一竅不通	事實確鑿		
GPE	專家學者	事實勝於雄辯							
GPF	琮	琓	一家老小	事實真相	一窮二白				
GPG	琔	瑄	璌	璸	逐字逐句	事實表明	現實表現		
GPH	琯	事實上							
GPI	兩袖清風	事實清楚							
GPJ	一定是	一窩蜂	㻘						
GPL	琿	璭							
GPM	一視同仁	求之過急							
GPN	現實情況	現實性	烈軍屬						
GPO	珠寶店								
GPP	一審宣判								
GPQ	琬	正襟危坐							
GPR	瑸	一定的	平安無事						
GPS	一定要	与之相比							
GPT	一定程度	現實生活	專家委員會						
GPU	現實意義	天安門廣場	天安門	晉察冀	現實問題	一審判決	天安門城樓		
GPV	囊空如洗								
GPW	琛	瑏	瑢	一家人	逐客令	一定會	亞運會	現實任務	㻠
GPX	專家組	專家級	兩審終審製						
GPY	事實證明	現實主義	事實說明	束之高閣	列寧主義	事實充分證明	珠寶商		
GQA	殘	尶	殜	殢	殣	琘	万世	殉葬	殯葬
GQB	殛	列出	殃及	殘聯	玩忽職守	列隊	殉職	㤪	
GQC	殆	万能	䬸						
GQD	殎	殑	殗	殝	麺	万古	死硬	形象大使	五角大樓
GQE	殍	殂	理解力	理解力	列舉	頭昏腦脹	㱚	㱣	
GQF	殖	殪	殰	殱	万元	烈士	形象地	死者	死去
GQG	琻	尫	殌	殏	殐	殭	豗	死于	死刑
GQH	殩	一針見血	頭昏眼花	㱜	㱟	㱺			
GQI	歹	珧	珎	遨游	死活	万源	万金油	死党	殲滅
GQJ	列	烈	裂	虺	劽	姴	殟	烮	珣
GQK	殫	殞	殨	玽		裂口	死路	青銅器	殘蹟
GQL	殬	死因	死罪	死罪	列車	殲擊	列國	殉國	㱬
GQM	殃	瓊	瑍	万山	殘骸	瓊山	青銅峽	㱯	
GQN	玸	烈性	死心	殘局	烈屬	㱪	㱸		
GQO	列席	烈火	烈度	殊榮	殘廢	熬煉			
GQP	殯	殥	列宁	死守	死神	万安	万宁	死寂	列寧
GQQ	殉	歿	卼	歾	殙	麹	裂解	死角	万象
GQR	殊	瑤	歽	天然气	万年	更多的是	死后	死掉	列兵
GQS	天然林	死板	殘酷	贅述	㱤				
GQT	熬	鰲	鼇	贅	敖	聱	遨	殤	驁
GQU	殕	裂痕	熬煎	歹意	殘疾	裂開	殘羹	殘部	一鱗半爪
GQV	兀	兀	殔	琤	肂	殆盡	殘忍	一觸即發	
GQW	殲	殄	殮	餮	殦	飱	万人	万余	万分
GQX	死	裂縫	列強	裂紋	死緩	現金結算	瓊結	㘸	㰷
GQY	玖	殧	玓	瑠	死亡	万方	熬夜	列為	一句話
GRA	更年期	青年工人	碧藍						
GRB	珠子	一攬子	一攬子協議	青年聯歡節	一攤子				
GRC	天氣預報								
GRD	碧	琋	正反面	玉皇大帝	殘缺不全	一擁而上	一揮而就	一掃而空	
GRE	青年學生								
GRF	青年干部	青年才俊	素質教育	青年幹部					
GRG	珀	瑝	一年一度	青年一代	一抓到底	碧玉	万年青	再接再厲	瑰麗
GRI	珠	瑔	璳	珠海	珠江	碧波	碧海	死气沉沉	理所當然
GRJ	一無是處								
GRK	豆制品	一气呵成	一失足成千古恨	豆製品	一氣呵成				
GRL	璑	一年四季	青年團						
GRM	珤	五指山	殘兵敗將						
GRN	一剎那	互換性							
GRO	一手遮天								
GRP	一气之下	碧空	一丘之貉	珠寶	瑰寶	一技之長	青年突擊隊	一氣之下	兩手空空
GRQ	瑰	一年多來	一手包辦						
GRR	瓆	一把手	一手抓	一把抓	束手無策	一無所知	一無所有	一無所獲	平白無故
GRS	一年來	東拼西湊	東拉西扯						
GRT	琕	珠算	青年節	束手待斃					
GRU	棘手問題	一年半載							
GRV	一拍即合								
GRW	青年人								
GRX	瓅	一年比一年	碧綠	毒氣彈	天無絕人之路				
GRY	璬	束手就擒	一捅就破	五年計劃	責無旁貸	專製主義			
GSA	末期	到本世紀末	互相監督	一本萬利	東西歐				
GSB	末了								
GSD	膥	副校長	一概而論						
GSE	互相學習								
GSF	互相支持	理想境界	到機場迎接	互相幫助	一來二去				
GSG	一查到底	一本万利	一模一樣	一本正經	殘酷事實				
GSH	玎	殘酷鬥爭							
GSI	末	正本清源							
GSJ	亍	末日	互相照顧	㻼					
GSK	珂	唜	末路	專橫跋扈					
GSM	平頂山								
GSN	末尾	一相情愿	一相情願	兩相情願					
GSR	末年	專機抵達							
GSS	琳	瑮	璴	互相配合	末梢	一本本	政權機關		
GST	═	║	╒	╓	╔	╕	╖	╗	╘
GSU	互相尊重	末端	互相間						
GSV	琴棋書畫								
GSW	琜	互相合作	末代	互相促進	兩極分化	兩權分離			
GSY	東西方	理想主義	東西方關係	㺷					
