aaa	工	工艺	葡萄牙	工期	工区	工匠	恭恭敬敬	劳苦功高	花花世界
dtg	有利于	故事	不利于	不等于	有待于	三千万	大循环	三番五次	不务正业
dth	砟	成千上万	故此	春秋战国	顾得上	厏	硟		
dti	大街小巷	寿光	不科学	在生活中	在生活上	大敌当前			
dtj	有利时机	故里	寿星	不管是谁	不自量力	䂰			
dtk	硌	邫							
dtl	硇	不利因素	磇						
dtm	礇								
dtn	砾	矿务局	帮忙	故居	不得已	在我心中	有生以来	百般刁难	矻
dto	不适应	三季度	磻						
dtp	砭	不稳定	面向社会	故宫	有生之年	不毛之地	古稀之年	在特定情况下	在特定历史条件下
dtq	大自然	厂长负责制							
dtr	硪	矿物质	不知所措	在我看来	帮手	克敌制胜	不知所云	百般挑剔	
dts	有利可图	布告栏	不得要领	耍笔杆子					
dtt	有利条件	古生物	不管怎样	在很短的时间内	不怎么	不管怎么说	在各自的岗位上	不徇私情	在短短的几年之内
dtu	不知道	三等奖	故意	大生产	不简单	不辞辛苦	不知道是	大处着眼	不知道是否
dtv	不咎既往								
dtw	寿命	不符合	百科全书	面向全国	古往今来	不得人心	故作	故人	大秋作物
dtx	故乡	㥻							
dty	故	面向市场	不知为什么	大牲畜	邦交	㚒			
dua	碰巧	歪门邪道	雄姿英发	肆意攻击	硑				
dub	厥	劂	确立了	三北防护林	憠	橜	磀	蟨	蹷
dud	㕇	不准确	奋斗历程	磁石	奋斗不息	百闻不如一见	不闻不问	龙门石窟	不痛不痒
due	磁力	不着边际	厚着脸皮	礀	礈	礲	龎	䃍	
duf	辜	有关专家	有关规定	磁场	大部地区	有意无意	在前进中	有益无害	厚颜无耻
dug	砬	磋	磁带	碰到	有关政策	有益于	在新形势下	不善于	大道理
duh	奋斗目标	磁卡	大半辈子	眘	䙽				
dui	有关法规	有关当局	不减当年						
duj	鹩	大问题	成问题	尞	昚	磵	䃥	䨅	
duk	碚	矿产品	䂱						
dul	有关国家	有意思	破关斩将	磳	䃅				
dum	三门峡	三部曲	春意盎然	碰见					
dun	磁性	成立以来	碰壁	耐着性子	奇装异服	奇闻怪事			
duo	碰	有关精神	奋斗业绩	㶫					
dup	大奖赛	盛况空前	而立之年						
duq	有关负责人	辜负	磁铁	有奖销售					
dur	有益的	碰撞	在新的一年里	在新的历史条件下	在新的形势下	雄壮的	在新的世纪	大前提	故意杀人罪
dus	磁极	否决权	磸						
dut	磁盘	有奖征文	有关条款	不道德	大半生	有关条文			
duu	冭	有关部门	矿产资源	有关单位	磁头	有关资料	有关问题	磁疗	硬着头皮
duv	磏								
duw	大部分	有关人士	三资企业	有关人员	磁化	大部分地区	原单位	磁体	破产企业
dux	磁	礠							
duy	有关方面	磋商	在北京召开	有关文件	有意识	三头六臂	不善言谈	三亲六故	肆意诋毁
dvb	大杂院								
dvc	厩								
dvd	不妨碍	有始有终							
dve	感召力	硍							
dvf	友好城市	不好过	砕	䃤					
dvg	大好事	大好形势	不妨一试	硉					
dvi	碌	三好学生	大好河山	䃗					
dvj	大好时机	大好时光							
dvl	友好国家	䃳							
dvo	大杂烩	友好精神							
dvp	原始社会								
dvs	原始森林	友好相处							
dvt	友好往来	友好条约	碯						
dvu	友好关系	大刀阔斧	不好意思						
dvv	大姑娘								
dvw	友好合作关系	友好合作	在群众中	友好人士	友好代表团	友好使者			
dvx	成群结队	成群结伙							
dvy	友好访问	在建设中	不妨试试						
dwa	砼	春节	夏令营	春花	歪风邪气	奉节	厚今薄古		
dwb	春联	不仅限于	大个子						
dwc	不仅能够	奉劝	不仅能在	砓					
dwd	不仅不	春耕	百货大楼	顾全大局	春夏	左邻右舍	礁石	不但不能	不伦不类
dwe	舂	有偿服务	不舒服	感人肺腑	大伤脑筋	不使用武力	不分胜负	憃	㦼
dwf	奉献	春运	成人教育	成倍增长	春雨	百亿元	春雷	大公无私	确信无疑
dwg	奏	奉	硷	磴	不合理	春天	不低于	三位一体	不公正
dwh	百分点	大体上	胡作非为	㫪					
dwi	仄		泰	奢侈浪费	大会堂	春光	不合法	泰兴	破釜沉舟
dwj	春	蠢	不仅是	不但是	春旱	不合时宜	不合时宜的	春晚	惷
dwk	存储器	古今中外	大合唱	赝品	奢侈品				
dwl	泰国	在全国范围内	有偿转让	不假思索	三八国际劳动妇女节	三八国际妇女节			
dwm	泰山	秦岭							
dwn	矶	不会改变	大会发言	磓	㤗	䃖			
dwo	百货店	百分数							
dwp	百分之	百分之百	存储容量	泰安	春寒	奉公守法	成人之美		
dwq	大使馆	大伙儿	春色	压倒多数					
dwr	砜	春播	大公报	耕作制度	大会执行主席	百分制	在今后几年里	威信扫地	威风扫地
dws	不仅要	不仅可以	大体相当	奇货可居					
dwt	秦	％	‰	奉行	春秋	春季	不合适	不值得	泰和
dwu	春意	泰斗	奉送	雁北	百亿美元	大会闭幕	布什总统	雄伟壮观	威风凛凛
dwv	不仅如此	耐人寻味	不但如此	大众媒介	三八妇女节	有令即行	砏	鳫	䲪
dww	雁	赝	不仅仅是	有价值的	春风	不仅仅	大众化	不信任	百货公司
dwx	百分比	三八红旗手	大使级						
dwy	礁	矾	碓	有人认为	奏效	有价证券	在会谈中	百货商店	百货商场
dxb	㔫	面红耳赤	牵强附会						
dxd	不约而同	大红大紫	有张有弛	破绽百出					
dxf	龙井	寿比南山							
dxg	袭击	龙王	不绝于耳	寿终正寝					
dxh	成绩斐然	成绩卓著							
dxi	在经济上	龙潭	龙江	不经济	龙海	龙游	历经沧桑		
dxj	砩	有线电视	大约是	成绩显著	不结盟运动	不结盟	不结盟国家	不结盟政策	不结盟会议
dxk	龙口	聋哑	不费吹灰之力	䃨					
dxl	有比较才能有鉴别								
dxm	龙山	龙岩							
dxn	䂗								
dxo	垄断	有线广播	历经磨难						
dxp	成绩突出								
dxr	牵线搭桥	龙泉							
dxt	龙舟	胡编乱造	三级简码						
dxu	龙头	龙门	成绩单						
dxv	破纪录								
dxw	三结合	龙凤	在编人员						
dxx	砒	在组织上	䃈						
dxy	袭	砪	龙	垄	戊	聋	龚	砻	大张旗鼓
dya	有计划	原计划	有效期	成熟期	不计其数	在这期间	有计划商品经济	有计划有步骤	有计划按比例
dyb	太阳	太子							
dyc	硫	䃵							
dyd	飙	太原	不言而喻	太太	碎石	不谋而合	磅礴	大言不惭	大为不满
dye	戍边	㕈							
dyf	有效地	丈夫	大市场	碎块	三讲教育	䃴			
dyg	砫	䂴	太平	邦交正常化	研讨班	在京开幕	不良现象	三言两语	大义灭亲
dyh	唇亡齿寒								
dyi	太	丈	犬	在京举行	太湖	研讨洽谈会	大放光明	砯	
dyj	在这里	成效显著	不良影响	成交量	有效遏制	丈量	成效明显	不论是谁	不识时务
dyk	礅	丰衣足食	碠	碻	䃄				
dyl	盇	䃪	䃶						
dyn	态	碥	有效性	大为改观	大放异彩	奇谈怪论	不讲情面	太忙	奒
dyo	态度	太康	在主席台就座的有	硛					
dyp	太空	有识之士	成交额	在这之前	不义之财	友谊赛	在这之后	古文字	迏
dyq	成交金额								
dyr	态势	有效措施	不良反应	不良后果	太白	不计报酬	不识抬举		
dys	太极	有效机制	有话要说						
dyt	在这种情况下	尤为重要	碎片	太和	奇迹般地	在这种形势下	不言自明	不亦乐乎	不谋私利
dyu	磅	碲	不良资产	在京闭幕	大义凛然	不变资本			
dyv	在京召开	有话好说	硠						
dyw	碎	磙	研讨会	有效途径	感谢信	在这个基础上	在这个时候	不良风气	古文化
dyx	戍	友谊比赛							
dyy	砇	在这方面	在讲话中	有效率	在讲话中强调				
eaa	加工工业	䏼							
eab	加工出口区								
eac	加工能力	爱莫能助							
ead	加工厂	臓							
eae	朦胧	腊月	受苦受难						
eaf	腻	毁坏	腜						
eag	肛	毁灭	毁于						
eah	臔								
eai	胨								
eaj	舁	膜	腊	貘	臈				
eak	膒	臙	貙	貛	䐙	䑏			
eal	䑅								
eam	朠	䐟	䐵	䐽	䝡				
ean	脦	䐑							
eao	加工业								
eap	朦								
eaq	䏘	䐭	䐶						
ear	用其所长	䝙							
eas	毁林								
eau	月工资								
eav	㥯								
eaw	毁	臒	㩓	㬴	㬸	䥣			
eay	加工订货	膵	㬻	䐠					
eba	服药	采取切实措施							
ebb	郛								
ebc	服	鵩							
ebd	采取有效措施	采取不正当手段	采取不正当的手段						
ebe	服用	月乃用舟家衣下	㔜						
ebf	孚								
ebg	䏪	服刑	受聘于						
ebh	边防战士								
ebi	乳汁								
ebk	乳品	边防哨所							
ebm	乳山	朏	貀						
ebn	乳	肔	边防局	㐠					
ebp	边防军								
ebq	服饰	采取多种形式							
ebr	采取措施	服气							
ebt	服务	采取行动	服役	嗠	㲗				
ebu	服装	边防部队	边防前线						
ebw	服从	䳕							
eby	乳房	䏜							
eca	胫								
ecc	腏								
ecd	肥大								
ece	肥胖	肥力							
ecf	肥城								
ech	受骗上当								
eci	肥沃	肥水							
ecj	蜰								
eck	胎	驾驶员							
ecl	肥田								
ecm	肥肉	覶							
ecn	肥	腬							
eco	肥料								
ecq	胎儿	肥猪							
ecr	肥皂								
ect	胎盘	䏬							
ecw	朘	䝜							
ecy	肥效	肞							
eda	膸								
edb	受不了	䐛							
edc	肱	胜不骄败不馁	胈						
edd	胸有成竹	办不成	脍不厌细						
ede	胚胎	腼腆							
edf	胯	悬而未决	采石场	力大无穷	脤	䢅			
edg	加在一起	办不到							
edh	胚	夓	肧	肨	脜	脴	豾	䐼	䝟
edj	貊	腌							
edm	须	腼	媭	嬃	澃	盨	胹	腝	頾
edn	胆大心细	肬	䏵						
edo	采矿业	脄							
edq	胆大包天	䐒							
edr	遥感技术	䝠							
eds	䐀	䝝							
edt	须知	爱不释手							
edu	用不着	膫	䐻	䝤					
edv	爱厂如家								
edw	腠	朋友们	力不从心	脥	䏾	䐏			
edx	胧								
edy	肽	胆大妄为	朋友遍天下	肰					
eea	月薪	脑力劳动	月工	脑力劳动者	月牙	腰肌劳损			
eeb	脬	月出							
eec	月台								
eed	朋友								
eee	月	勰	劦	姭	朤	脇	䝱		
eef	舀	月刊	月坛	遥遥无期	胆力过人	脟			
eeg	朋	月球	月末	䏣	䐘	䑂			
eeh	膄								
eei	月光	肝脑涂地	䏮						
eek	月中								
eem	服服帖帖								
een	㽰								
eeo	月底								
eep	月初	肺腑之言							
eeq	鹏	月色	腉	貎					
eer	月报	脱胎换骨	胁迫						
ees	肝胆相照	䐆							
eet	肋	肜	月入						
eeu	月产								
eev	脮								
eew	胁	腴	月份	遥遥领先	膘肥体壮				
eex	膎	貕							
eey	月亮	月夜							
efa	膹								
efb	肚子	脖子							
efc	肢	脚	胠	䐦					
efd	胸无大志	臑	頱						
efe	膨胀	肝脏	肝胆	边干边学	腾云驾雾				
eff	边远地区	边境地区	胿	膮					
efg	肚	脚下							
efh	肝	豻	虢	脚步	肚皮	䐈	䐜		
efi	肤浅	脚注	悬壶济世	䏡					
efj	肼								
efk	膨	臌	脚跟	脚踏	䐍				
efm	腩								
efn	肟		䏯						
efo	肝炎								
efp	脖	用武之地							
efq	朊	脚印	肤色	边境贸易	肢解				
efr	肤质								
efs	脚本	县直机关							
eft	豺	㲕	䐗						
efu	寽	肝癌	边境冲突	爵士音乐					
efv	膤								
efw	肤	肢体	臛	鶏					
efx	边境线								
efy	肘								
ega	助理工程师								
egb	肫	受到限制	䢸						
egc	县	悬	胵						
egd	且	爰	助威	受到破坏	鶢	䪶			
ege	助	膊	脯	腈	豚	加班加点	肺腑	边整边改	脿
egf	县城	助教	县直	县志	月下老人	䏏			
egg	助理	悬殊	受到表彰	毁于一旦					
egi	悬浮	助兴	悬赏	脙					
egj	受到影响	刞	腖	膞	貆				
egk	膈	办事员	脨	脰	腷	䏸			
egm	肺	悬崖	县内	脼	䐬	䑔			
egn	毁灭性	县属	且慢	毁灭性打击	擧	礜	舃	轝	鸒
ego	县政府	肺炎	助燃						
egp	悬空	䢐							
egq	县外	用一句话来说							
egr	助手	悬挂	加速推进						
egs	办事机构	䏞							
egt	办事处	县委	县长	助长	受到重视	受到处理	县衙		
egu	肺癌	受到冲击	肺病	助产	胓				
egv	受到好评	脻	䑖						
egw	雎	悬念	受到追究	鴡					
egx	胰	县级	腈纶	加班费	膆				
egy	县市	办事效率							
eha	用药	用工	用功	臄	䝞				
ehc	叟	遚	鄋	㪢	㲣	䏢	䝛		
ehd	腓								
ehe	用力	用脑							
ehf	用地	用场	用武	鼠目寸光					
ehg	胩	用于	用来	用事					
ehh	用具	用餐	臞	貜					
ehi	用水	用法	用光						
ehj	用电	用量							
ehk	用	丯	用品	胋					
ehl	用车								
ehn	胪	用以	用心	用尽	胆战心惊				
eho	用煤	用料							
ehp	用家								
ehq	用钱	䏹							
ehr	用手	用兵							
eht	用处								
ehu	辵	用意							
ehw	用途	用人							
ehx	頿								
ehy	用户	用计	用语	用房					
eia	䝣								
eie	䏴								
eig	胱								
eij	肺活量								
eil	盥								
eim	䐝								
ein	爱沙尼亚	胆小怕事							
eip	膛	爱汉字就是爱祖国							
eiq	助学金								
eir	脳								
eit	办学条件	䏚							
eiu	加油站								
eiv	胆小如鼠								
eiw	膌								
ejb	胆子								
ejc	力量对比								
ejd	胆大								
ejf	㸓	貋	㦟	䏷	䤚				
ejg	胆	䐎	䑗						
ejh	刖	胂							
eji	力量源泉	胆小							
ejj	胆量	用电量	蠫						
ejk	受影响								
ejl	腽	胆略	䝢						
ejm	腢								
ejn	胆怯								
ejp	力量之源								
ejs	腂								
ejt	腥	胆管							
ejx	䐊								
ejy	胆识								
eka	加工	加蓬	架式						
ekb	架子	贺函	䐕						
ekc	驾	驾驶	驾驭						
ekd	加大	加压	脱口而出	加厚	加码	胸中有数	㚙	䂟	
eke	肿胀	加力							
ekf	胸中无数								
ekg	加	加速	加班	脚踏两只船	脭	脵			
ekh	肿	加上	贺卡	膭	䑊				
eki	加深	加油	加水	加温	加法				
ekj	加紧	加盟	贺电						
ekk	臊	腭	貚	㔔	㖙	㬽	䐷		
ekl	加固	驾车							
ekm	贺	脶	贺岁	䐣					
ekn	加快	加以	加剧	乫	㔖	㠰	㤎		
eko	加料								
ekp	迦	加密	脚踏实地	架空	加宽	贺礼			
ekr	加热	贺年	架势	㧝					
eks	架	哿	架构	架桥	驾校				
ekt	加入	加重	加长	贺辞	毠				
eku	肿瘤	架次	贺兰	加减	䪪				
ekv	妿								
ekw	贺信	加倍	加价	加分	嗧	胑	鴐		
ekx	加强	加纳							
eky	袈	架设	贺词	加高					
ela	膕								
elb	爱国卫生运动	爱国阵线							
eld	胭								
ele	舅	舅舅							
elf	爱国者	爵士	爱国志士	爱国运动	䐾				
elg	舆	腘	腲						
elh	胛								
eli	爱国激情								
eln	腮	爱国心							
elo	爱国精神								
elq	边界争端	臅							
elr	爱国热情								
els	胆固醇	脾胃相投	㬷						
elt	䐃								
elu	边界冲突								
elv	爵	膢	貗						
elw	爱国人士	爱国侨胞							
elx	爱国统一战线	边界线	䐯						
ely	舆论	爱国主义	爱国主义教育	爱国主义精神	爱国主义者	驾轻就熟	边界谈判		
ema	腆	爱岗敬业	悬崖勒马						
emb	胜败乃兵家常事								
emd	胦	腨	貒						
emf	爯	䏥	䫇						
emg	爨	胴	璺	爂	腗	臖	舋	㸑	䐩
emh	帠								
emk	采购员								
eml	受贿罪								
emm	悬崖峭壁	䑍							
emn	膼								
emp	受贿案								
emq	觅								
emv	爱财如命								
emw	肭	觅食	采购供应站	朒	膗	豽			
emx	悬崖绝壁								
enb	㐍	爱屋及乌							
end	力克	胸怀大志	胸怀大局	腒					
enf	甩卖	䏔							
eng	力求	甩开	毁尸灭迹	腛	䏤				
enh	腵	貑							
eni	脲	力学							
enj	力量								
enk	䑀								
enl	力图	肠胃							
enn	劜	肊	加快发展	加以改进	䏱				
eno	力度	䐖							
enq	力争	加以解决							
enr	肠	甩掉	力气	加快推进	䐲				
ens	爱民模范	鼠标							
ent	力	月收入	加以重视	䏟	䐅				
enu	鼠	鼹	鼷	鼯	鼢	鼬	鼣	鼤	鼥
env	甩								
enw	力促	加以分析	爱憎分明	胸怀全局	䏐				
enx	胒	䝚							
eny	力主	用心良苦	臎						
eof	脏								
eon	膔	臕							
eoo	腅								
eoq	膦								
eou	䊆	臁							
eov	膅								
eow	腑	毇							
eoy	脒	脏话							
epa	边区	受苦	受宠若惊	爱慕	臗				
epb	边防	受阻	边陲	受聘	边际				
epc	受	受骗	受难	辤					
epd	爱	迌	腾空而起	受灾面积	受之有愧				
epe	边	脓	受用						
epf	腙	脘	边境	受害者	边远	爱戴	受过		
epg	腚	受到	受理	办实事	受惠	用之于	腟		
epi	边沿	受潮							
epl	爱国	边界	爱祖国	受罚	受累	腪			
epm	受贿								
epn	爱心	爱情	爱民	爱惜	边民	受尽			
epp	受灾	受害	受审	受礼					
epq	腕	舜	䏙	䑟	䢬	䴄			
epr	膑	受损	爱护	受控	受挫	受托	受援	受热	受气
epu	受益	边关	受奖	爱美	受凉				
epv	胺	爱好							
epw	腔	膣	受伤	爱人	受命	办案人员	爱你	貁	
epx	边缘	边疆							
epy	受训	受雇	爱恋						
eqa	胝								
eqb	郳	䐢							
eqc	胜负难测	脃							
eqd	脆								
eqe	胸脯	胸膛	彩色胶卷	䐄					
eqg	胰岛素								
eqh	力争上游	㪒							
eqi	朓								
eqj	彩色电视机	彩色照片	彩色电视	加急电报	彩色影片				
eqk	朐	胸中	胸口	脕	豿				
eqn	胞	胸怀	褜						
eqo	舄	边角料	边角废料	䐳					
eqp	胸襟								
eqq	䏧								
eqr	胸	脚镣手铐	肳	脗	䐇				
equ	爱尔兰	胸部	胸前	䏛					
eqv	㬹								
eqw	肷	脍炙人口	鶂						
eqx	脆弱								
eqy	豹	肑							
erb	朡								
erc	胍	力所能及							
erd	遥感	脪							
ere	脚手架	肺气肿	遥遥						
erf	遥远	腯							
erg	胉	貃							
erh	肵	脌	䝖						
eri	腺	遥测	䏭						
erk	乳制品								
erl	脾胃	膴							
erm	遥	繇	鹞	颻	飖	䍃			
ern	䏗								
erq	貌	邈	乳白色	力挽狂澜	㦝				
err	遥控	脾气	壆	嶨	斅	斆	燢	礐	觷
ers	脎								
ert	脾	贺年片	服兵役	貏					
eru	悬挂着								
erv	力挫群雄	用兵如神							
erw	貌似	力排众议	爱护公物	爱护公共财物	胅				
erx	䑈								
ery	遥望								
esb	采取	肠梗阻							
esd	采矿								
ese	彩	采用							
esf	膘	彩云	彩霞						
esg	彩带								
esh	股票上市	股票上市公司							
esi	采油	采光							
esj	彩电	彩虹	采暖	彩照	䐺				
esk	遥相呼应	胢							
esl	彩车								
esm	采购								
eso	采煤	彩灯							
esp	采写								
esq	彩色	腰包							
esr	采摘	采掘	彩扩	股票指数	彩排				
ess	彩票	用材林	腰酸	采样					
esu	采	彩卷	膝盖	腰间					
esv	腰								
esw	膝	采集	采伐	采风					
esx	采纳	采编	彩绘						
esy	䝗	采访	股票市场	彩旗	股票交易所				
eta	胀	服务项目	服务工作	加入世贸组织	服务范围	服务区	加入世贸	胮	㭀
etb	服务队	胜出	胣						
etc	服务台								
etd	服务态度	胜利在望	膖	䏦	䏺				
ete	胳膊	腹腔	貈						
etf	腹地	胜过	胜者	胜地	胜利者	乳臭未干	脡	腄	膬
etg	胜	服务于	胜于	服务到家	办得到	胻	腁	臐	
eth	臼	胙	服务上门	脠	䏒	䑄	䝥		
eti	腹泻	爱科学	服务小姐						
etj	腹	胜利果实	服务电话	脷	膓				
etk	胳	貉	服务器	服务中心	服务员				
etl	貔	膍	䝦	䢉					
etm	服务网	䐿							
etn	县委书记	服务性	服务性行业	噕	爲	爳	肐	胏	鄬
eto	服务业	膰	䐐						
etp	服务社	胜利完成							
etq	胜负								
etr	服务质量	服务热线							
ets	服务机构								
ett	彡	胜利	服务行业	服务处	服务生	服役条例			
etu	服务部	腹部	服务站	脏乱差	胜利闭幕	用得着	服务意识		
etv	腇								
etw	服务体系	服务公司	胜任	胜似	䐫				
etx	服务费	脢							
ety	豸	服务商	服务市场	服务设施	胜诉	爫			
eua	胼	脱节	脱落	受益匪浅					
eub	脱险	胖子							
eud	腾	滕	媵	塍	朕	脱硫	服装厂	受益不浅	幐
eue	脱脂	腹背受敌							
euf	受益者	脱产干部							
eug	胖	䏠	膳	脱下	羘	膶	䐤	䑆	䑌
eui	脱水	脱产学习							
euj	臆	月产量	受益最大	朣	腤	膱			
euk	脱	脱口	䏽						
eul	脱困								
eun	腾飞								
euo	脱粒								
eup	妥善安置	腾空	爱美之心						
euq	妥善解决	脱钩	脱销						
eut	妥善处理	脱身	䐮						
euu	脱产								
euv	膁								
euw	脱贫	爱立信	膳食	脱俗	用意何在	膉	貖		
eux	䏲								
euy	脱离	滕州	脱盲	腾讯					
evc	䐚								
eve	腿	貇							
evf	妥	爱好者	妥协	䐸	䐹				
evg	肗	腱	办好事	貄					
evi	妥当	䐂							
evk	貂								
evl	䐉								
evn	肍								
evr	㼏								
evt	爱好和平								
evu	妥善								
evw	鵎								
evy	肒	肕	䏰						
ewa	股东	受人欺凌							
ewc	股	䐋	䐥	䝘					
ewd	А	Б	В	Г	Д	Е	ё	Ж	З
ewe	胗	办公用品	办妥	肌肤					
ewf	脍	受伤者	服从需要	肸	胕				
ewg	脸	腧	办理	办事	脱贫致富	办班	服从于	脸颊	肹
ewh	办公桌	脸上	办卡	䐰					
ewi	办	臾	办法	办学					
ewm	肌肉	䝿							
ewn	肌	股民	爱人民	脸蛋	惥	膇	䏨		
ewo	脸庞								
ewp	办公室	办案	貌合神离						
ewq	脸色	股金							
ewr	股份制	办报	股价指数	办公质量					
ews	貅	股票	办公楼	股本	䏫				
ewt	办公自动化	股长	股息	腥风血雨					
ewu	用人单位	脸部	斞						
ewv	办好	朌	䳎	䳔					
eww	脞	办公	股份	股份公司	肌体	办公会议	脑体倒挂	办几件实事	服从分配
ewx	а	б	в	г	д	е	ё	ж	з
ewy	股市	办公设备	助人为乐	办证	办公效率	脸谱	朎	肣	脽
exb	加强了								
exd	奚	脱颖而出	鷄	㰿	䫣				
exe	脂肪	脸红脖子粗							
exf	边疆地区								
exg	腰缠万贯	加强两岸	腞						
exh	䏖								
exi	边缘学科	乿							
exj	脂	加强监督	胇						
exk	膙								
exl	加强团结								
exn	加强民族团结								
exp	脱缰之马								
exs	肺结核	加强检查督促							
ext	加强管理	加强和改进	边缘科学	膷					
exu	䐞								
exw	加强合作	加强领导							
exx	肶	豼	䏶						
exy	胟	加强交流	助纣为虐						
eya	舆论工具								
eyb	脑子	脑际	膀子						
eyd	舆论压力	用词不当							
eye	用户服务	臃肿	脑力	肮脏	爱说爱笑				
eyf	用户需求	用户协会	胶南	胆识过人					
eyg	胶囊	用户至上							
eyi	脑海								
eyj	脐	舆论监督							
eyk	朜	脝	㬿	䐧	䑋				
eyl	膻	舆论界	采访团						
eyn	脉	胲	舆论导向	䐔	䑉	䳮			
eyo	胶粘								
eyp	脱离实际								
eyq	胶印	脱离危险							
eyr	脑	脉搏	用户手册						
eyt	肪	胶片	脑筋	股市行情					
eyu	膀	膪	脉冲	胶卷	用户意见	腣	䐱		
eyv	脱离群众	朖							
eyw	胶	腋	肮	脑袋	股市低迷	脺	㬵		
eyx	臃	脉络	胘	膟					
eyy	舆论认为	胶州	舆论谴责						
faa	示范区	二期工程	示范基地	塔式	起草工作				
fac	雨花台								
fad	堪	喜获丰收	规范破产	动荡不安	地区布局	无巧不成书	去芜存菁	寸草不留	墈
fae	霰	超期服役	无功受禄						
faf	卋	坩	⒘	⒄	⒙	⒅	⒚	⒆	⒛
fag	霸王	博茨瓦纳	超薄型	示范表演	声东击西	规范王码	墷		
fah	武警战士	壏							
fai	塔河								
faj	卉	堰	塻	㫩					
fak	霸	域	塸	墐	壦	㙺	䨣		
fal	㙹								
fam	贲	墴	歕	翸	霙	㙢	䴅		
fan	堞	地区性	进攻性	土著居民					
fap	塔斯社	规范字	靀						
faq	域名	零花钱	墆	尭					
far	地区的	南斯拉夫	坑蒙拐骗	考勤制度	㘷				
fas	霸权	塔顶	塔楼	枽	桒	䫙			
fat	堪称	规范管理	无期徒刑	塔身	老黄牛				
fau	武警部队	地区冲突	霸道	地区差价					
faw	塔	规范化	示范作用	地区优势	过期作废	十项全能	地勤人员	专项合同	零七八碎
fax	地区经济	规范经营							
fay	运营商	示范户	霸主	霸州	专项调研	塃			
fba	地区	土耳其	地基	教职工	无限期				
fbb	献出了								
fbd	地面	地磁	无孔不入	地压					
fbe	地膜	地貌	地力	䨸					
fbf	地址	地震	地域	雷阵雨	地雷	地支	地壳	地块	进出境
fbg	地球	地下	地理	地表	地带	地形	䨯		
fbh	邗	地点	地上	地步	地皮				
fbi	地学	地温	䨡						
fbj	壭	南联盟	地电	孝子贤孙					
fbk	凷	进出口	进出口公司	进出口总额	教职员工	无限忠诚			
fbl	地图	地界							
fbm	地幔								
fbn	地	地层	进取心	地心					
fbo	进取精神	夫子庙							
fbp	赤子之心	逇							
fbq	地铁	地名	地狱	地铺					
fbr	地质	地热	地势	地摊	无限制	地瓜			
fbs	地板	无隙可乘	垜						
fbt	地处	地利	地毯	地委	地盘	地物	地租	起了重大作用	霳
fbu	地头	地产	地道	朝阳门					
fbw	地位	地段	地价	震耳欲聋					
fbx	地线	壣							
fby	圾	地方	地市	地主	喜出望外	雭			
fca	运营	动荡	去世	动工	弆				
fcb	却	埃及	支出	支队	支取	云阳	叝	䢵	
fcc	动能	劫难	走马观花	墋	㙍				
fcd	动态	却不	云龙	才能有效地	頍	䪺			
fce	动	劫	运用	动力	动脉	动用	翅膀	支架	运力
fcf	运动	云南	运载	运城	动武	云雾	云霄	运走	动土
fcg	动画	运到	动静	去死	运球				
fch	支点	走马上任	却步	䖔	䨶				
fci	运河	支流	云海	云浮					
fcj	索马里	刦	朅						
fck	动员	动听	云贵	去路	支路	唟	坮		
fcl	盍	运输	运转	动辄	云图	䫦			
fcn	翅	支书	动情	坦桑尼亚	云层	支局	动心	雺	霚
fco	云烟	走马灯							
fcp	运	才能实现	支农	无能之辈	迲				
fcq	运销	去留	㰦						
fcr	魂	支持	去年	支撑	支援	动手	动摇	去掉	运气
fcs	支柱	支配	动机	支票	劫机	云杉			
fct	埃	运行	动物	运算	支行	动向	运往	去处	运筹
fcu	去	支	云	支部	运送	支前	干劲冲天		
fcv	未能如愿	刧	刼	叇	攳				
fcw	运作	支付	动作	动人	云集	老骥伏枥	埈	鳷	䧴
fcx	运费	支线	动弹	鼁					
fcy	却说	无能为力	动议	动词					
fda	城区	震荡	朝三暮四	朝秦暮楚	堶				
fdb	十三陵	城防	地面卫星接收站	魂不附体					
fdc	都不能	老大难	垮台	博古通今	坺				
fdd	老太太	十三大	震感	无奇不有	老态龙钟	㙽			
fde	雳	坜	需用	㙊	䨖				
fdf	震	雼	垮	志愿者	震动	超大规模	盐碱地	城墙	幸存者
fdg	坧	需求	坏死	二百万	二百五	南太平洋	无辜平民	零存整取	远在天边
fdh	坏	坯	赶不上	真面目	墄	䨮			
fdi	地面水	示威游行	老太婆						
fdj	埯	城里	却不是	老寿星	走在时代前列				
fdk	震中								
fdl	壥								
fdm	需	顸	颥	协奏曲	无原则	堧	顬	㘵	䨲
fdn	城	震惊	震慑	地矿局	墭				
fdo	博大精深								
fdp	教研室	志愿军	真不容易	垯					
fdq	城镇	过不多久							
fdr	塬	震撼	未成年人	志愿兵	无辜的	老有所为	老有所养	地面接收站	垮掉
fds	需要	都不可能	老大哥	城楼	过硬本领	埼			
fdt	地大物博	坏处	喜不自禁	志在千里	堆龙德庆	喜不自胜	老大自居	垹	
fdu	地矿部	地面站	城关	城门	地面部队	坦克部队	㙩	㙭	
fdv	老百姓	城建	老大娘	无辜群众					
fdw	城堡	雷厉风行	坏人	老大爷	志愿人员	十有八九	朝不保夕	示威人群	埉
fdx	垅	城乡	震级	教研组					
