AA	式	葉	藍	芽	戒	盞	戔	匿	苷
RY	擁	抗	搞	抆	擠	撤	斥	邀	摘
SA	模	權	構	械	橫	框	棋	櫃	槓
SB	李	極	橢	椰	楹	檉	杍	杝	柮
SC	桶	梭	懋	橘	杈	杷	杼	榪	壄
SD	頂	棒	遷	枯	椅	楔	樁	梆	杖
SE	棚	杉	枷	桴	櫸	桕	朸	枂	柤
SF	村	檯	材	樹	植	枝	隸	杜	票
SG	本	西	配	丁	醒	醱	酷	槽	醉
SH	相	想	椒	楨	櫨	杫	枮	柀	桛
SI	檔	樑	梢	桄	杪	樘	桫	桜	橕
SJ	查	楊	桿	棍	棵	榻	覃	杳	柛
SK	可	哥	歌	杏	枴	楫	枵	榀	枳
SL	楞	樓	梱	柙	欏	柶	栶	梿	棝
SM	賈	桐	柵	櫻	柚	榿	枧	枘	杣
SN	紮	栩	楣	札	橄	杞	樨	榍	櫂
SO	樸	粟	櫥	棪	椨	椩	榳	榶	槦
SP	枕	迺	棕	桉	棺	榕	楦	檸	榷
SQ	柳	桃	橡	栒	榴	桅	枸	櫓	柢
SR	析	覈	棉	株	柏	鬱	攀	槐	樊
SS	林	標	木	楚	禁	森	柯	焚	麓
ST	格	橋	梅	覆	枚	櫛	杵	柞	榭
SU	樣	梯	欄	樟	梓	櫚	樽	槎	櫬
SV	根	要	概	棣	楗	朷	朹	杒	枠
SW	來	麵	檢	槍	麥	栓	橙	楓	榆
SX	楷	機	枇	椽	櫞	朼	杛	柪	柫
SY	述	校	柱	杭	榜	梳	柿	檀	榔
TA	穫	築	簧	籃	筐	箋	簸	箕	篝
TB	秀	牠	季	透	笈	彵	彶	秄	竾
TC	么	私	篤	笆	笞	犙	秮	稄	穇
TD	知	短	智	籍	矩	甜	舌	逢	喬
TE	稱	般	穩	船	槃	盤	航	舟	租
TF	等	特	先	造	毛	德	告	毬	靠
TG	生	動	行	重	積	策	徑	征	牛
TH	邊	自	算	片	怎	息	延	版	竹
TI	秒	稍	衍	簿	箔	筲	愆	徜	尓
TJ	得	利	香	稈	梨	馥	稞	篳	笪
TK	各	和	程	禹	簞	雒	簣	稆	兎
TL	箇	範	血	衊	籮	卹	簍	稷	篾
TM	身	微	射	筒	奧	懲	徽	躺	黴
TN	衛	迄	乞	筷	笥	刉	徦	徫	徲
TO	釋	悉	番	愁	簾	釉	鄱	簏	勫
TP	管	乏	稼	箜	箢	徖	牸	犗	秺
TQ	物	移	衡	牴	黎	銜	筍	簷	禿
TR	稀	我	循	秩	禦	穆	鵝	箍	徨
TS	術	箱	笨	秫	簟	徠	篥	徆	徱
TT	衝	種	復	笑	牧	牲	篷	禾	笙
TU	科	簡	乎	乘	籠	犧	箭	笠	徉
TV	很	節	律	委	筆	魏	逶	簫	犍
TW	答	從	符	稅	徐	簽	籤	役	黏
TX	第	每	繁	彿	敏	龜	毓	篆	胤
TY	入	往	徹	篇	徬	稿	簇	籬	篙
UA	瓶	癱	瘩	迸	閾	疳	瘼	癀	癘
UB	聞	塑	逆	朔	癮	癃	槊	兯	屰
UC	痛	痠	憑	冶	馮	闖	竣	疤	瘙
UD	辦	送	辯	療	辨	拳	辣	辮	眷
UE	前	龍	凈	襲	剪	毅	瘦	閒	壟
UF	養	閉	辛	凌	閨	羌	闔	鯗	癲
UG	開	義	美	半	判	差	病	善	羊
UH	站	門	疲	丫	疵	瘧	癯	闃	痁
UI	冰	闊	瘠	痧	痟	竗	閖	閯	闛
UJ	間	意	章	音	竟	童	竭	閩	韻
UK	問	部	闆	競	闡	剖	癌	閭	瓿
UL	閘	曾	痼	甑	瘰	閫	兾	凅	凙
UM	彆	幣	弊	斃	凋	憋	瞥	敝	蹩
UN	悶	闢	翊	癖	闞	闈	瘺	癜	瘕
UO	普	並	痰	癆	焛	疢	普通	普及	普遍
UP	凕	痯	瘒	竚	竤	竩	奠定了	兼容性	兼容机
UQ	次	資	瓷	姿	咨	閻	恣	瘓	瘤
UR	痺	兿	痸	瘣	闎	前提下	前所未有	新的水平	新的高度
US	新	親	痲	痳	尊	遵	鄭	閑	奠
UT	道	導	首	疾	閣	疼	癥	剷	疙
UU	立	癢	闕	瘴	癇	瘥	癔	冸	暜
UV	兼	痕	歉	妾	癰	鶼	冿	甉	疩
UW	閤	益	冷	瘉	癒	閃	閥	閱	瘋
UX	北	關	弟	凝	孳	慈	冀	癡	剃
UY	凜	閔	瘀	瘁	閼	閡	閬	疰	閌
VA	媒	尋	姬	媾	嫫	嫗	妅	姏	姖
VB	好	她	奶	婀	媸	娵	嫷	恏	邚
VC	即	始	既	媽	努	奴	怒	暨	孥
VD	姑	娠	妚	妦	妬	妭	姱	姷	娍
VE	退	姐	嫂	媛	艮	嬡	娐	娞	婇
VF	書	劃	畫	肅	妹	娃	晝	妓	嬉
VG	建	嫩	姨	姪	嫣	聿	婧	婕	妍
VH	盡	肀	娊	婋	婌	婔	婥	媜	媫
VI	妙	逮	嫦	逯	姯	娋	媣	盝	鹔
VJ	旭	巢	勦	娼	娌	旮	妲	妽	娨
VK	如	召	邵	絮	娛	娟	恕	嬋	邕
VL	姻	甾	邋	嫘	媼	娚	婟	媤	媦
VM	姍	妯	娉	媧	奾	妠	姌	姎	姛
VN	刀	妃	娓	媚	婿	妮	娜	妞	姒
VO	災	嬤	婒	嫝	嫞	嫬	嫲	嫾	嬚
VP	嫁	巡	嬸	婉	帚	姹	嬪	妉	姲
VQ	婚	妳	姚	娩	妁	夛	奺	姁	姰
VR	婢	嫵	姝	妡	妷	姤	姩	娦	婂
VS	嫖	奵	妸	婡	婹	雑	如醉如痴	好极了	嫖娼
VT	九	群	君	姓	媳	郡	嬌	姊	娥
VU	嫌	嫉	娣	嫻	馗	姘	嫜	姅	娧
VV	女	婦	姦	刕	奻	妱	姧	娽	嫿
VW	鳩	嬝	妗	刅	妎	妐	妢	姈	姙
VX	姆	妣	娹	媘	嫋	嬵	蠿	嫌疑人	嫌疑犯
VY	孃	忍	妨	刃	婷	妒	嫡	姣	嬗
WA	代	備	僅	供	借	袋	伐	貸	仝
WB	他	仍	仔	伋	佴	倻	怹	鸧	仍然
WC	公	頌	翁	俊	殳	俟	俑	侔	仏
WD	做	段	佈	優	伏	鳳	僚	估	仗
WE	俘	伽	倪	仴	伹	俀	俷	倗	倸
WF	僥	什	值	伕	付	倖	仁	舒	佳
WG	全	會	使	郃	命	例	傳	便	倒
WH	條	候	企	佔	脩	偵	悠	俱	攸
WI	償	儅	倘	俏	儻	仦	仯	侊	偗
WJ	介	但	伸	偶	倡	俚	偈	倮	倱
WK	保	促	仲	堡	兌	侶	儼	侃	俁
WL	佃	個	儸	儡	佪	偎	僂	儇	伡
WM	仙	側	催	倜	侗	儂	俜	仚	伣
WN	假	侷	師	似	偉	歸	追	烏	侯
WO	伙	僕	傭	侂	侎	倓	傏	僗	僯
WP	傢	佇	倌	佗	倥	儐	伔	侒	侘
WQ	低	您	像	仰	傑	侈	佝	佻	儋
WR	爺	父	爸	爹	斧	釜	凰	傀	飚
WS	何	價	休	朵	剁	仃	僳	鵂	価
WT	八	作	係	件	任	風	颱	傷	颺
WU	位	們	併	倍	億	儀	伴	倦	僧
WV	分	儘	侵	伊	健	島	貧	盆	鳥
WW	卻	人	坐	份	慾	倫	俗	偷	傘
WX	化	發	貨	傾	偕	仳	伄	僟	僶
WY	信	進	隻	領	今	集	住	傚	含
XA	紅	絨	纜	緙	紺	紲	弡	弫	弬
XB	級	弛	絀	弭	弢	毑	緅	鄳	♂
XC	強	綴	弘	紓	紿	弝	紁	紦	経
XD	張	頃	緬	綁	綺	繚	弼	緘	紱
XE	組	綵	緩	幼	綏	綬	縚	孧	弸
XF	結	續	貫	繞	緒	疆	毌	綾	鴇
XG	純	經	彊	緻	練	剝	彙	績	彌
XH	引	弔	綽	緋	緲	黽	彏	盄	眞
XI	紗	綃	潁	绱	糸	弰	弾	絖	緔
XJ	費	旨	紳	弗	縵	艴	緹	緄	刜
XK	彈	緝	絹	犟	繢	繾	繰	勥	弲
XL	細	綑	縷	繹	縲	緦	繯	彋	絗
XM	納	綱	網	綢	繃	纓	紬	紻	絅
XN	紀	母	糾	幻	緯	紐	弓	繆	緡
XO	纏	粥	鬻	纊	彍	熲	絋	継	緂
XP	縮	縯	綜	綻	繽	綰	紞	紵	紽
XQ	約	纔	紙	絢	縐	弞	弤	絇	絩
XR	線	弧	繳	綿	紤	紩	絈	絑	絺
XS	縹	緗	彁	糽	絉	絊	絤	綇	綝
XT	總	嚮	響	終	繙	鄉	疑	縫	縱
XU	弱	織	絆	繕	縊	綣	縑	繒	綈
XV	絕	紹	繡	紉	紈	繅	緇	匘	弨
XW	給	維	紛	纖	繪	綸	緞	緱	緶
XX	比	幾	斷	繼	絲	綠	緣	繩	皆
XY	統	編	縴	絃	紡	紋	締	絞	縞
YA	護	講	試	謀	諾	誣	謹	譁	謊
YB	詘	邡	諏	斈	斊	訑	訯	詜	誀
YC	充	育	棄	誦	詒	袤	譎	誒	夣
YD	產	顏	誠	誇	彥	詼	詁	誄	旑
YE	衣	詛	裔	諛	裒	諼	亹	彣	斖
YF	計	誌	討	讀	詩	諸	斌	褻	詰
YG	請	主	証	語	評	諫	諑	殶	瓬
YH	誹	謔	訃	卞	讞	斍	裵	訨	訿
YI	誚	讜	氷	訬	誻	譡	高水平	交流与合作	高尚的
YJ	課	裹	謁	謾	亣	亰	剤	恴	斉
YK	就	高	京	誤	毫	熟	亮	訓	郭
YL	謂	畝	譯	顫	稟	氈	謖	亶	勯
YM	市	調	訥	訕	詇	詗	詷	誷	諣
YN	記	望	刻	房	顧	永	遍	詞	亡
YO	談	亦	奕	謎	弈	燮	亪	変	夑
YP	誼	這	詫	諢	訦	詑	詝	誴	諚
YQ	詢	謠	詭	詆	讒	諍	謅	諂	誑
YR	訴	離	訢	誅	詬	旆	旊	袠	褢
YS	訂	譚	訶	訹	誺	諃	諲	謌	謤
YT	放	為	話	許	族	施	州	遊	旂
YU	議	商	識	適	敵	帝	劑	齊	詳
YV	良	認	朗	郎	詔	剆	勆	塱	旔
YW	六	說	設	論	交	證	雜	夜	誰
YX	率	變	彎	畜	牽	玄	戀	諧	蠻
YY	方	文	該	言	註	讓	訪	諒	詠
